"EP Code:n","LOP A/C No:n","A/C Name","Reported BI Name","Reported TO Name","BI/Omni Code","BI Name","Mother BI/Omni Code","BI TO Code","BI TO Name"
"CFB","PHK15-YYQRV","XXX","XXX","XXX","INS_1919","XXX","","BIT_1308","XXX"
"CFB","PHK15-YYUT1","XXX","XXX","XXX","HED_1835","XXX","OMN_0009","BIT_0091","XXX"
"CFB","PHK15-YYVKP","XXX","XXX","XXX","HED_0997","XXX","","BIT_1012","XXX"
"CFB","PHK15-YYXOI","XXX","XXX","XXX","HED_1836","XXX","OMN_0009","BIT_0091","XXX"
"CFB","PHK15-YYXOP","XXX","XXX","XXX","HED_1837","XXX","OMN_0009","BIT_0091","XXX"
"CFB","PHK15-YYXOQ","XXX","XXX","XXX","HED_1838","XXX","OMN_0009","BIT_0091","XXX"
"CFB","PHK15-YYYT2","XXX","XXX","XXX","HED_1060","XXX","","BIT_0442","XXX"
"CFB","PHK15-YZ1DG","XXX","XXX","XXX","OMN_0294","XXX","","","XXX"
"CFB","PHK15-YZ1H5","XXX","XXX","XXX","INV_0032","XXX","","","XXX"
"CFB","PHK15-YZ1QL","XXX","XXX","XXX","OMN_0191","XXX","OMN_0009","BIT_0527","XXX"
"CFB","PHK15-YZ1QN","XXX","XXX","XXX","INV_0032","XXX","","","XXX"
"CFB","PHK15-YZ2IK","XXX","XXX","XXX","INS_1906","XXX","","BIT_0909","XXX"
"CFB","PHK15-YZ2NP","XXX","XXX","XXX","OMN_0191","XXX","OMN_0009","BIT_0527","XXX"
"CFB","PHK15-YZ2QX","XXX","XXX","XXX","INV_0061","XXX","","","XXX"
"CFB","PHK15-YZ2ZY","XXX","XXX","XXX","HED_0088","XXX","OMN_0009","BIT_0176","XXX"
"CFB","PHK15-YZ3EI","XXX","XXX","XXX","INS_1785","XXX","","BIT_0200","XXX"
"CFB","PHK15-YZ3EN","XXX","XXX","XXX","HED_0109","XXX","","BIT_0200","XXX"
"CFB","PHK15-YZ3FV","XXX","XXX","XXX","HED_0417","XXX","OMN_0009","BIT_0176","XXX"
"CFB","PHK15-YZ3LN","XXX","XXX","XXX","INS_1814","XXX","","BIT_0851","XXX"
"CFB","PHK15-YZ3MS","XXX","XXX","XXX","HED_0523","XXX","","BIT_0442","XXX"
"CFB","PHK15-YZ3RW","XXX","XXX","XXX","HED_1059","XXX","","BIT_0442","XXX"
"CFB","PHK15-YZ3SH","XXX","XXX","XXX","INS_1159","XXX","","","XXX"
"CFB","PHK15-YZ3SY","XXX","XXX","XXX","HED_0619","XXX","","BIT_0909","XXX"
"CFB","PHK15-YZ3YY","XXX","XXX","XXX","INS_1784","XXX","","BIT_1297","XXX"
"CFB","PHK15-YZ4EY","XXX","XXX","XXX","HED_1296","XXX","OMN_0009","BIT_0703","XXX"
"CFB","PHK15-YZ4FJ","XXX","XXX","XXX","INS_1814","XXX","","BIT_0851","XXX"
"CFB","PHK15-YZ4KV","XXX","XXX","XXX","HED_0088","XXX","","BIT_0176","XXX"
"CFB","PHK15-YZ4KY","XXX","XXX","XXX","INS_0853","XXX","","BIT_0200","XXX"
"CFB","PHK15-YZ4SW","XXX","XXX","XXX","HED_0255","XXX","","BIT_0404","XXX"
"CFB","PHK15-YZ4TQ","XXX","XXX","XXX","HED_0545","XXX","","BIT_1413","XXX"
"CFB","PHK15-YZ4TS","XXX","XXX","XXX","HED_0545","XXX","","BIT_1036","XXX"
"CFB","PHK15-YZ4UY","XXX","XXX","XXX","HED_0517","XXX","","BIT_0740","XXX"
"CFB","PHK15-YZ4ZU","XXX","XXX","XXX","HED_0716","XXX","OMN_0009","BIT_0484","XXX"
"CFB","PHK15-YZ5AF","XXX","XXX","XXX","HED_0004","XXX","","BIT_0909","XXX"
"CFB","PHK15-YZ5AZ","XXX","XXX","XXX","HED_1294","XXX","","BIT_1246","XXX"
"CFB","PHK15-YZ5DV","XXX","XXX","XXX","INS_1950","XXX","","BIT_0200","XXX"
"CFB","PHK15-YZ5ER","XXX","XXX","XXX","INS_1755","XXX","","BIT_1263","XXX"
"CFB","PHK15-YZ5ET","XXX","XXX","XXX","INS_1907","XXX","","BIT_1263","XXX"
"CFB","PHK15-YZ5EV","XXX","XXX","XXX","INS_1864","XXX","","BIT_1358","XXX"
"CFB","PHK15-YZ5EX","XXX","XXX","XXX","INS_1899","XXX","","BIT_1358","XXX"
"CFB","PHK15-YZ5FN","XXX","XXX","XXX","HED_1060","XXX","","BIT_0442","XXX"
"CFB","PHK15-YZ5FW","XXX","XXX","XXX","INS_1796","XXX","","BIT_1309","XXX"
