BI/Omni Code,BI Name,PDR Cat
GPR_0001,BCF-House,GPR
GPR_0002,BNP-House,GPR
GPR_0003,CAR-House,GPR
GPR_0004,CFB-House,GPR
GPR_0005,CGM-House,GPR
GPR_0006,CLF-House,GPR
GPR_0007,DBF-House,GPR
GPR_0008,SGS-House,GPR
GPR_0009,GSF-House,GPR
GPR_0010,Royal Bank of Scotland NV,GPR
GPR_0011,ING-House,GPR
GPR_0012,JPM-House,GPR
GPR_0013,LEH-House,GPR
